Player,height_in,weight_lb
Dick Clark,76,190.0
Earl Clark,82,225.0
Gary Clark,78,225.0
Ian Clark,75,175.0
Jaylen Clark,77,205.0
Keon Clark,83,220.0
Brandon Clarke,80,215.0
Coty Clarke,79,232.0
Jordan Clarkson,77,194.0
Gian Clavell,76,185.0
Victor Claver,81,224.0
John Clawson,76,200.0
Charles Claxton,84,265.0
Nic Claxton,83,215.0
Speedy Claxton,71,166.0
Walter Clayton,76,195.0
Jim Cleamons,75,185.0
Mateen Cleaves,74,205.0
Barry Clemens,78,210.0
Chris Clemons,69,180.0
Antonius Cleveland,77,195.0
Nique Clifford,77,175.0
Nat Clifton,78,220.0
Donovan Clingan,86,280.0
Bill Closs,77,195.0
Keith Closs,87,212.0
Noah Clowney,82,210.0
Paul Cloyd,74,180.0
Bob Cluggish,82,235.0
Ben Clyde,79,198.0
Amir Coffey,79,210.0
Richard Coffey,78,212.0
Fred Cofield,75,190.0
John Coker,84,253.0
Norris Cole,74,175.0
Ben Coleman,81,235.0
Derrick Coleman,82,230.0
E.C. Coleman,80,225.0
Jack Coleman,79,195.0
Norris Coleman,80,210.0
Bimbo Coles,72,182.0
Isaiah Collier,76,210.0
Jason Collier,84,260.0
Art Collins,76,185.0
Don Collins,78,190.0
Doug Collins,78,180.0
James Collins,76,196.0
Jarron Collins,83,255.0
Jason Collins,84,255.0
Jimmy Collins,74,175.0
John Collins,81,226.0
Mardy Collins,78,220.0
Sherron Collins,71,205.0
Yuri Collins,72,190.0
Zach Collins,81,250.0
Kyle Collinsworth,78,210.0
Darren Collison,72,175.0
Nick Collison,82,255.0
Joe Colone,77,210.0
Bonzie Colson,78,225.0
Sean Colson,72,175.0
Steve Colter,75,165.0
Chance Comanche,82,210.0
Glen Combs,74,185.0
Leroy Combs,80,210.0
John Comeaux,77,193.0
Dallas Comegys,81,205.0
Larry Comley,77,210.0
Jeff Congdon,73,180.0
Gene Conley,80,225.0
Larry Conley,75,175.0
Mike Conley,73,175.0
Ed Conlin,77,200.0
Marty Conlon,82,224.0
Pat Connaughton,77,209.0
Jimmy Conner,76,190.0
Lester Conner,76,180.0
Chuck Connors,77,190.0
Will Conroy,74,195.0
Anthony Cook,81,205.0
Bert Cook,75,185.0
Bobby Cook,70,155.0
Brian Cook,81,234.0
Daequan Cook,77,205.0
Darwin Cook,75,184.0
Jeff Cook,82,215.0
Norm Cook,80,210.0
Omar Cook,73,190.0
Quinn Cook,73,180.0
Tyler Cook,80,255.0
Charles Cooke,77,196.0
David Cooke,80,230.0
Javonte Cooke,78,185.0
Joe Cooke,75,175.0
Xavier Cooks,80,183.0
Jack Cooley,82,274.0
Chuck Cooper,77,210.0
Duane Cooper,73,185.0
Joe Cooper,82,230.0
Michael Cooper,79,170.0
Sharife Cooper,72,176.0
Wayne Cooper,82,220.0
Tom Copa,82,275.0
Chris Copeland,81,239.0
Hollis Copeland,78,180.0
Lanard Copeland,78,190.0
Tyrone Corbin,78,210.0
Chris Corchiani,72,185.0
Ken Corley,77,210.0
Ray Corley,72,180.0
Petr Cornelie,83,220.0
Dave Corzine,83,250.0
Larry Costello,73,186.0
Matt Costello,82,240.0
Bryce Cotton,73,165.0
Jack Cotton,79,200.0
James Cotton,77,220.0
John Coughran,79,225.0
Bilal Coulibaly,79,195.0
Ricky Council IV,78,207.0
Mel Counts,84,230.0
Steve Courtin,73,188.0
Joe Courtney,80,235.0
Marcus Cousin,83,245.0
DeMarcus Cousins,82,270.0
Bob Cousy,73,175.0
Robert Covington,79,209.0
